"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Leaf_VIS_Spectral_Absorption"
"BNL12818","FLMM","PSR+3500","THE-GRA","Thespesia","grandiflora","Lower","106.895599446257","20170304",0.93209353461938
"BNL12819","FLMM","PSR+3500","BAN-VAN","Banara","vanderbiltii","Upper","141.954233157413","20170304",0.905530790808497
"BNL12820","FLMM","PSR+3500","BAN-VAN","Banara","vanderbiltii","Upper","138.274871229446","20170304",0.873920875162377
"BNL12821","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Lower","64.6211895307554","20170304",0.892494246844229
"BNL12822","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Lower","286.773586923889","20170304",0.920721262316457
"BNL12823","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Lower","662.400194087197","20170304",0.90984871279768
"BNL12824","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Upper","34.7707275378001","20170304",0.854210089229135
"BNL12825","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Upper","88.9240339131891","20170304",0.920801494160609
"BNL12826","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Upper","460.526865163613","20170304",0.918540993290042
"BNL12827","FLMM","PSR+3500","BAN-VAN","Banara","vanderbiltii","Lower","139.304615302958","20170304",0.916215429962851
"BNL12828","FLMM","PSR+3500","BAN-VAN","Banara","vanderbiltii","Lower","173.731698032934","20170304",0.930355390139382
"BNL12829","FLMM","PSR+3500","GOE-ELE","Goetzea","elegans","Upper","40.1522087486067","20170304",0.857127226498854
"BNL12830","FLMM","PSR+3500","GOE-ELE","Goetzea","elegans","Upper","112.466821882322","20170304",0.939243281370263
"BNL12831","FLMM","PSR+3500","GOE-ELE","Goetzea","elegans","Upper","174.627120300831","20170304",0.941828378550551
"BNL12832","FLMM","PSR+3500","COR-OBO","Cornutia","obovata","Upper","44.018552942744","20170304",0.930274919380651
"BNL12833","FLMM","PSR+3500","ACR-MED","Acrocomia","media","Upper","97.8210921353193","20170304",0.907052841178846
"BNL12835","CAM II","PSR+3500","COC-DIV","Coccoloba","diversifolia","Mid","189.271578396403","20170304",0.939999522093393
"BNL12836","CAM II","PSR+3500","COC-DIV","Coccoloba","diversifolia","Mid","305.92204883956","20170304",0.94543849380239
"BNL12837","CAM II","PSR+3500","SID-SAL","Sideroxylon","salicifolium (L.) Lam.","Mid","563.080451021355","20170304",0.909276908986563
"BNL12838","CAM II","PSR+3500","SID-SAL","Sideroxylon","salicifolium (L.) Lam.","Mid","468.884238064387","20170304",0.958831486372315
"BNL12839","CAM II","PSR+3500","COC-DIV","Coccoloba","diversifolia","Upper","276.521680677181","20170304",0.939630993220096
"BNL12840","CAM II","PSR+3500","SID-SAC","Sideroxylon","salicifolium (L.) Lam.","Mid","368.113064147885","20170304",0.943210574754101
"BNL12841","CAM II","HR-1024i","GYM-LUC","Gymnanthes","lucida Sw.","Upper","237.900006403766","20170304",0.949647374070987
"BNL12842","CAM II","HR-1024i","SID-SAL","Sideroxylon","salicifolium (L.) Lam.","Upper","380.531250528256","20170304",0.930903522293966
"BNL12844","CAM II","HR-1024i","COC-DIV","Coccoloba","diversifolia","Upper","260.425906873648","20170304",0.943168703126704
"BNL12845","CAM II","HR-1024i","COC-DIV","Coccoloba","diversifolia","Mid","238.467801766666","20170304",0.94422301868129
"BNL12846","CAM II","HR-1024i","CLU-ROS","Clusia","rosea Jacq.","Mid","17.0364636409957","20170304",0.950334976825456
"BNL12847","CAM II","HR-1024i","CLU-ROS","Clusia","rosea Jacq.","Mid","65.7638998777632","20170304",0.955225191765535
"BNL12848","CAM II","HR-1024i","COC-DIV","Coccoloba","diversifolia","Mid","205.598570366648","20170304",0.939582070379697
"BNL12849","CAM II","HR-1024i","COC-DIV","Coccoloba","diversifolia","Mid","355.679584314466","20170304",0.934096650183893
