"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Red","Blue","Far_Red"
"BNL12848","CAM II","HR-1024i","COC-DIV","Coccoloba","diversifolia","Mid","205.598570366648","20170304",0.946843724838694,0.958983383766122,0.233230452677015
"BNL12849","CAM II","HR-1024i","COC-DIV","Coccoloba","diversifolia","Mid","355.679584314466","20170304",0.930532153310282,0.958694062269892,0.280535867382355
"BNL12850","CAR I","HR-1024i","KRU-FER","Krugiodendron","ferreum (Vahl) Urb.","Mid","122.876059836242","20170304",0.930797790557921,0.958286180214976,0.195308475254691
"BNL12851","CAR I","HR-1024i","GYM-LUC","Gymnanthes","lucida Sw.","Upper","164.49232022279","20170304",0.949267172837958,0.959032873106086,0.250811388276043
"BNL12852","CAR I","HR-1024i","GYM-LUC","Gymnanthes","lucida Sw.","Upper","134.473217924652","20170304",0.941152981316646,0.958750000329411,0.240835097245075
"BNL12853","CAM II","HR-1024i","KRU-FER","Krugiodendron","ferreum (Vahl) Urb.","Mid","342.651390129431","20170304",0.945124130493006,0.959043514716116,0.270949623982514
"BNL12854","CAR I","HR-1024i","SID-SAL","Sideroxylon","salicifolium (L.) Lam.","Upper","371.214140778874","20170304",0.923239501701074,0.958131666582638,0.299905135719682
"BNL12855","CAR I","HR-1024i","ZAN-MAR","Zanthoxylum","martinicense (Lam.) DC.","Mid","253.635293346396","20170304",0.934576645413226,0.958428290387278,0.245015592150701
"BNL12856","CAM II","HR-1024i","LIC-PAR","Licaria","parvifolia (Lam.) Kosterm.","Mid","560.452846570644","20170304",0.957138156508376,0.959308902449232,0.371048267063258
"BNL12857","CAM II","HR-1024i","ZAN-MAR","Zanthoxylum","martinicense (Lam.) DC.","Mid","208.789107203363","20170304",0.948399254983828,0.95919910053966,0.227307357826514
"BNL12858","CAM II","HR-1024i","KRU-FER","Krugiodendron","ferreum (Vahl) Urb.","Mid","189.78150217467","20170304",0.938310258587221,0.958511130854748,0.215040929328586
"BNL12859","CAM II","HR-1024i","GYM-LUC","Gymnanthes","lucida Sw.","Mid","212.438980404957","20170304",0.954539899179014,0.959200376620953,0.301631320204389
"BNL12860","CAR I","HR-1024i","SID-SAL","Sideroxylon","salicifolium (L.) Lam.","Upper","232.869197511099","20170304",0.928517340687882,0.9582226032432,0.243942687954003
"BNL12861","CAR I","HR-1024i","LIC-PAR","Licaria","parvifolia (Lam.) Kosterm.","Upper","398.888066862988","20170305",0.960764603577743,0.959347970739411,0.369936250616843
"BNL12701","FLMM","PSR+3500","PTE-OFF","Pterocarpus","officinalis",NA,"30.6503817665664","20170305",0.900741636087793,0.954774516166814,0.142635387215145
