Sample_ID,Duplicate_flag,Chem_type,H20_pc,LMA_gDW_m2,SLA_cm2_gDW
BNL10768,2,NSC,,152.93,65.39
BNL10769,2,NSC,,112.36,89
BNL10770,2,NSC,,116.43,85.89
BNL10771,2,NSC,,138.26,72.33
BNL10772,2,NSC,,111.11,90
BNL10773,2,NSC,,103.31,96.79
BNL10774,2,NSC,,78.03,128.16
BNL10775,2,NSC,,147.94,67.59
BNL10811,2,NSC,,87.39,114.43
BNL10836,2,NSC,,114.54,87.3
BNL10837,2,NSC,,91.97,108.73
BNL10838,2,NSC,,138.08,72.42
BNL10839,2,NSC,,111.11,90
BNL10840,2,NSC,,108.28,92.36
BNL10841,2,NSC,,104.38,95.8
BNL10842,2,NSC,,134.21,74.51
BNL10843,2,NSC,,160.28,62.39
BNL10844,2,NSC,,160.89,62.16
BNL10845,2,NSC,,148.64,67.27
BNL10846,2,NSC,,105.73,94.58
BNL10847,2,NSC,,132.91,75.24
