Sample_ID,Duplicate_flag,Chem_type,H20_pc,LMA_gDW_m2,SLA_cm2_gDW
BNL10442,1,CHN,68.31,101.91,98.12
BNL10446,1,CHN,61.84,78.6,127.23
BNL10660,1,CHN,55.24,108.93,91.8
BNL10662,1,CHN,58.36,86.07,116.18
BNL10663,1,CHN,55.67,108.2,92.42
BNL10664,1,CHN,60.83,130.14,76.84
BNL10665,1,CHN,55.94,112.36,89
BNL10684,1,CHN,62.12,78.01,128.18
BNL10409,1,CHN,70.81,92.32,108.32
BNL10427,1,CHN,63.78,92.38,108.25
BNL10423,1,CHN,46.37,150.06,66.64
BNL10420,1,CHN,46.8,85.76,116.61
BNL10426,1,CHN,60.09,95.09,105.16
BNL10417,1,CHN,47.15,85.77,116.59
BNL10401,1,CHN,48.14,85.21,117.36
BNL10424,1,CHN,46.97,153.02,65.35
BNL10416,1,CHN,49.54,139.77,71.55
BNL10425,1,CHN,63.79,92.61,107.98
BNL10404,1,CHN,56.24,89.7,111.48
BNL10411,1,CHN,59.55,87.24,114.62
BNL10413,1,CHN,60.27,98.81,101.2
BNL10412,1,CHN,65.77,121.05,82.61
BNL10403,1,CHN,53.53,78.11,128.02
BNL10405,1,CHN,60,95.22,105.02
BNL10410,1,CHN,50.51,100.49,99.52
BNL10422,1,CHN,45.73,95.83,104.36
BNL10414,1,CHN,52.99,89.05,112.3
BNL10408,1,CHN,66.66,109.49,91.33
BNL10402,1,CHN,55.53,88.73,112.7
BNL10419,1,CHN,51.52,78.14,127.98
BNL10421,1,CHN,42.4,94.38,105.95
BNL10418,1,CHN,50,93.9,106.5
BNL10406,1,CHN,59.77,103.57,96.56
BNL10430,1,CHN,47.23,84.86,117.84
BNL10429,1,CHN,41.94,94.72,105.58
BNL10407,1,CHN,68.81,103.4,96.72
BNL10415,1,CHN,45.63,145.8,68.59
BNL10609,1,CHN,57.43,63.62,157.2
BNL10610,1,CHN,55.57,90.64,110.32
BNL10611,1,CHN,62.85,128.02,78.11
BNL10613,1,CHN,58.9,74.77,133.75
BNL10615,1,CHN,63.12,123.07,81.26
BNL10616,1,CHN,55.67,84.3,118.62
BNL10617,1,CHN,49.75,101.79,98.24
BNL10618,1,CHN,56.09,66.23,150.98
BNL10623,1,CHN,47.03,141.65,70.6
BNL10624,1,CHN,63.95,87.73,113.99
BNL10625,1,CHN,62.53,90.64,110.32
BNL10620,1,CHN,53.05,91.47,109.32
BNL10666,1,CHN,59.43,103.76,96.38
BNL10669,1,CHN,57.29,85.21,117.36
BNL10670,1,CHN,67.45,109.81,91.07
BNL10671,1,CHN,50.96,64.08,156.04
BNL10672,1,CHN,49.6,78.09,128.06
BNL10673,1,CHN,55.71,90.96,109.94
BNL10674,1,CHN,50.53,87.48,114.31
BNL10675,1,CHN,47.6,102.5,97.56
BNL10676,1,CHN,63.61,125.69,79.56
BNL10677,1,CHN,54.29,88.6,112.86
BNL10678,1,CHN,54.74,73.52,136.02
BNL10679,1,CHN,62.2,96.4,103.73
BNL10680,1,CHN,63.01,95.67,104.52
BNL10681,1,CHN,48.26,131.96,75.78
BNL10682,1,CHN,56.66,100.12,99.88
BNL10683,1,CHN,47.39,142.23,70.31
BNL10654,1,CHN,52.03,89.53,111.69
BNL10621,1,CHN,56.96,89.92,111.21
BNL10604,1,CHN,53.51,103.3,96.8
BNL10606,1,CHN,60.38,98.9,101.11
BNL10603,1,CHN,67.78,114.21,87.56
BNL10619,1,CHN,59.86,99.89,100.11
BNL10614,1,CHN,50.61,148.39,67.39
BNL10655,1,CHN,48.15,95.91,104.27
BNL10605,1,CHN,62.7,107.62,92.92
BNL10612,1,CHN,46.48,167.68,59.64
BNL10607,1,CHN,53.13,82.42,121.32
BNL10656,1,CHN,54.21,91.9,108.81
BNL10602,1,CHN,61.29,136.51,73.26
BNL10622,1,CHN,58.44,92.46,108.15
BNL10608,1,CHN,56.78,89.28,112
BNL10601,1,CHN,54.73,93.52,106.93
BNL10535,1,CHN,59.9,59.94,166.84
BNL10536,1,CHN,63.56,144.13,69.38
BNL10537,1,CHN,65.05,81.24,123.09
BNL10539,1,CHN,63.78,95.02,105.25
BNL10540,1,CHN,51.47,82.4,121.36
BNL10541,1,CHN,63.63,97.78,102.27
BNL10542,1,CHN,60.33,69.08,144.77
BNL10543,1,CHN,57.91,76.36,130.95
BNL10544,1,CHN,59.17,46.42,215.45
BNL10545,1,CHN,57.31,71.41,140.03
BNL10549,1,CHN,58.14,72.38,138.16
BNL10550,1,CHN,64.85,134.51,74.35
BNL10551,1,CHN,64.28,86.42,115.72
BNL10552,1,CHN,63.87,53.99,185.22
BNL10553,1,CHN,57.74,66.67,150
BNL10554,1,CHN,61.88,93.08,107.44
BNL10555,1,CHN,67.04,88.97,112.4
BNL10556,1,CHN,54.16,93.97,106.41
BNL10557,1,CHN,59.69,70.66,141.53
BNL10558,1,CHN,66.04,122.22,81.82
BNL10559,1,CHN,66.81,92.61,107.98
BNL10560,1,CHN,53.74,137.56,72.7
BNL10561,1,CHN,59.57,66.12,151.24
BNL10562,1,CHN,50.1,152.27,65.67
BNL10661,1,CHN,63.66,81.03,123.42
BNL10593,1,CHN,62.48,88.37,113.16
BNL10634,1,CHN,60.76,98.22,101.81
BNL10635,1,CHN,62.58,106.12,94.24
BNL10636,1,CHN,48.78,147.06,68
BNL10637,1,CHN,50.94,108.2,92.42
BNL10638,1,CHN,58.62,106.7,93.72
BNL10640,1,CHN,51.49,82.91,120.62
BNL10641,1,CHN,63.22,106.58,93.82
BNL10642,1,CHN,52.52,104.73,95.48
BNL10643,1,CHN,59.78,85.14,117.45
BNL10688,1,CHN,53.55,98.11,101.93
BNL10689,1,CHN,61.32,108.3,92.34
BNL10690,1,CHN,57.03,78.09,128.05
BNL10691,1,CHN,50.62,126.13,79.28
BNL10723,1,CHN,62.02,123.12,81.22
BNL10724,1,CHN,52.66,102.68,97.39
BNL10727,1,CHN,49.71,109.86,91.02
BNL10749,1,CHN,49.56,99.09,100.92
BNL10750,1,CHN,46.04,93.65,106.78
BNL10639,1,CHN,61.72,177.78,56.25
BNL10699,1,CHN,58.44,142.32,70.26
BNL10701,1,CHN,43.92,106.03,94.31
BNL10702,1,CHN,59.86,132.68,75.37
BNL10703,1,CHN,57.89,113.52,88.09
BNL10786,1,CHN,57.52,112.36,89
BNL10787,1,CHN,52.92,139.51,71.68
BNL10788,1,CHN,56.25,123.24,81.14
BNL10803,1,CHN,51.43,135.89,73.59
BNL10805,1,CHN,46.05,98.43,101.59
BNL10807,1,CHN,57.19,123.78,80.79
BNL10629,1,CHN,50.74,163.24,61.26
BNL10628,1,CHN,64.3,84.54,118.29
BNL10626,1,CHN,52.35,113.54,88.08
BNL10658,1,CHN,51.89,114.11,87.64
BNL10627,1,CHN,62.76,82.76,120.83
BNL10632,1,CHN,42.71,98.17,101.87
BNL10564,1,CHN,55.1,130.44,76.66
BNL10633,1,CHN,49.69,79.51,125.76
BNL10630,1,CHN,48.39,158.29,63.17
BNL10547,1,CHN,49.16,88.86,112.54
BNL10653,1,CHN,49.22,155.31,64.39
BNL10631,1,CHN,64.84,114.14,87.61
BNL10566,1,CHN,49.02,110.89,90.18
BNL10565,1,CHN,56.13,129.08,77.47
BNL10657,1,CHN,62.78,108.02,92.57
BNL10567,1,CHN,49.62,97.38,102.69
BNL10546,1,CHN,58.37,77.97,128.26
BNL10652,1,CHN,54.58,148.85,67.18
BNL10548,1,CHN,54.24,140.7,71.07
BNL10563,1,CHN,55.03,90.44,110.57
BNL10568,1,CHN,55.85,125.47,79.7
BNL10569,1,CHN,56.34,129.09,77.47
BNL10570,1,CHN,59.94,124.31,80.44
BNL10571,1,CHN,65.31,103.93,96.22
BNL10572,1,CHN,64.56,99.88,100.13
BNL10651,1,CHN,57.61,75.16,133.06
BNL10704,1,CHN,55.42,147.47,67.81
BNL10706,1,CHN,57.26,155.92,64.14
BNL10710,1,CHN,52.3,92.57,108.03
BNL10735,1,CHN,59.74,101.79,98.24
BNL10736,1,CHN,58.7,104.12,96.04
BNL10737,1,CHN,51.81,142.54,70.16
BNL10738,1,CHN,52.66,84.38,118.51
BNL10739,1,CHN,46.89,98.63,101.39
BNL10740,1,CHN,52.74,94.08,106.29
BNL10741,1,CHN,51.89,88.89,112.5
BNL10707,1,CHN,50.59,151.56,65.98
BNL10708,1,CHN,52.87,89.73,111.44
BNL10728,1,CHN,50.25,162.51,61.54
BNL10742,1,CHN,59.39,107.19,93.29
BNL10743,1,CHN,60.49,102.71,97.36
BNL10744,1,CHN,48.82,134.99,74.08
BNL10745,1,CHN,61.81,98.37,101.66
BNL10747,1,CHN,57.3,118.84,84.14
BNL10748,1,CHN,57.33,73.24,136.53
BNL10751,1,CHN,58.83,76.67,130.42
BNL10752,1,CHN,55,160.11,62.46
BNL10753,1,CHN,53.56,169.58,58.97
BNL10754,1,CHN,55.51,84.11,118.9
BNL10755,1,CHN,51.85,96.84,103.27
BNL10756,1,CHN,54.69,55.63,179.75
BNL10764,1,CHN,65.75,103.15,96.94
BNL10765,1,CHN,47.35,127.44,78.47
BNL10766,1,CHN,61.82,108.26,92.37
BNL10779,1,CHN,56.07,81.36,122.92
BNL10778,1,CHN,58.18,106.97,93.49
BNL10801,1,CHN,49.85,83.9,119.2
BNL10762,1,CHN,54.85,123.94,80.68
BNL10760,1,CHN,63.1,104.12,96.04
BNL10763,1,CHN,50.53,91.32,109.5
BNL10777,1,CHN,50.5,119.91,83.4
BNL10758,1,CHN,54.07,123.28,81.11
BNL10761,1,CHN,57.41,138.92,71.98
BNL10726,1,CHN,57.12,145.58,68.69
BNL10725,1,CHN,59.32,134.58,74.3
BNL10697,1,CHN,59.22,99.53,100.47
BNL10802,1,CHN,55.69,117.53,85.08
BNL10757,1,CHN,46.62,98.51,101.52
BNL10709,1,CHN,56.23,98.22,101.81
BNL10759,1,CHN,56.99,150.36,66.51
BNL10776,1,CHN,57.98,108.41,92.25
BNL10698,1,CHN,41.17,98.44,101.58
BNL10780,1,CHN,49.22,140.24,71.31
BNL10781,1,CHN,52.48,114.25,87.53
BNL10813,1,CHN,55.81,105.95,94.39
BNL10814,1,CHN,53.32,95.92,104.25
BNL10815,1,CHN,55.42,82.08,121.83
BNL10816,1,CHN,55.62,138.74,72.08
BNL10821,1,CHN,49.54,95.08,105.17
BNL10822,1,CHN,59.89,112.67,88.75
BNL10823,1,CHN,59.48,75.88,131.79
BNL10824,1,CHN,47.46,181.92,54.97
BNL10825,1,CHN,47.25,184.51,54.2
BNL10826,1,CHN,57.34,146.76,68.14
BNL10827,1,CHN,56.87,158.55,63.07
BNL10828,1,CHN,60.7,120.56,82.94
BNL10829,1,CHN,42.42,109.03,91.72
BNL10830,1,CHN,46.12,104.52,95.67
BNL10832,1,CHN,57.77,121.25,82.48
BNL10835,1,CHN,60.31,94.58,105.73
BNL10809,1,CHN,43.26,170.32,58.71
BNL10806,1,CHN,62.4,96.8,103.31
BNL10804,1,CHN,50.94,150.15,66.6
BNL10793,1,CHN,58.94,121.31,82.44
BNL10791,1,CHN,47.36,116.1,86.13
BNL10817,1,CHN,54.31,89.36,111.91
BNL10700,1,CHN,43.48,100.2,99.8
BNL10808,1,CHN,56.37,107.06,93.4
BNL10812,1,CHN,45.36,87.71,114.01
BNL10818,1,CHN,44.26,112.4,88.97
BNL10833,1,CHN,56.23,135.12,74.01
BNL10819,1,CHN,56.79,152.11,65.74
BNL10810,1,CHN,45.86,140.82,71.01
BNL10820,1,CHN,61.01,116.81,85.61
BNL10792,1,CHN,48.81,118.64,84.29
BNL10831,1,CHN,54.65,80.3,124.54
BNL10834,1,CHN,51.71,125.26,79.83
BNL10790,1,CHN,52.25,141.15,70.84
BNL11121,1,CHN,61.56,71.71,139.46
BNL11028,1,CHN,56.77,91.27,109.56
BNL11020,1,CHN,35.62,84.38,118.52
BNL11032,1,CHN,45.84,90.3,110.75
BNL11173,1,CHN,50.94,101.99,98.05
BNL11029,1,CHN,43.82,86.4,115.74
BNL11051,1,CHN,46.25,174.43,57.33
BNL10960,1,CHN,54.39,131.71,75.92
BNL10995,1,CHN,57.05,110.18,90.76
BNL11024,1,CHN,56.69,121.91,82.03
BNL11030,1,CHN,55.68,95.61,104.59
BNL10939,1,CHN,60.09,123.3,81.1
BNL10998,1,CHN,61.78,87.45,114.36
BNL10963,1,CHN,53.87,152.59,65.54
BNL10986,1,CHN,50.25,96.95,103.14
BNL11027,1,CHN,52.91,119.31,83.81
BNL10962,1,CHN,64,94.36,105.98
BNL10966,1,CHN,46.77,89.91,111.23
BNL10970,1,CHN,48.67,131.71,75.93
BNL10979,1,CHN,60,88.2,113.38
BNL10985,1,CHN,52.4,80.39,124.39
BNL11021,1,CHN,29.3,107.85,92.72
BNL11026,1,CHN,61.7,126.69,78.93
BNL10890,1,CHN,55.39,117.03,85.45
BNL10892,1,CHN,55.23,133.43,74.95
BNL10895,1,CHN,58.27,86.29,115.89
BNL10900,1,CHN,53,100.21,99.79
BNL10910,1,CHN,54.5,68.97,145
BNL10915,1,CHN,50.09,112.13,89.19
BNL10941,1,CHN,57.48,139.77,71.54
BNL10951,1,CHN,39.8,97.77,102.28
BNL10965,1,CHN,54.01,159.54,62.68
BNL10967,1,CHN,63.08,112.13,89.19
BNL10969,1,CHN,50.76,168.74,59.26
BNL10971,1,CHN,52.73,98.25,101.78
BNL10973,1,CHN,62.13,118.16,84.63
BNL10987,1,CHN,64.8,135.55,73.77
BNL10997,1,CHN,60.54,78.22,127.85
BNL11000,1,CHN,51.52,148.37,67.4
BNL11046,1,CHN,51.34,112.88,88.59
BNL11048,1,CHN,56.23,106.54,93.86
BNL11015,1,CHN,51.66,137.39,72.78
BNL10955,1,CHN,53.35,93.44,107.03
BNL10917,1,CHN,57.01,138.29,72.31
BNL10883,1,CHN,57.31,117.37,85.2
BNL11006,1,CHN,64.09,113.83,87.85
BNL10908,1,CHN,63.65,69.08,144.76
BNL10918,1,CHN,62.84,130.36,76.71
BNL10930,1,CHN,48.91,154.33,64.8
BNL10922,1,CHN,37.79,204.91,48.8
BNL10927,1,CHN,53.24,105.05,95.19
BNL10950,1,CHN,61.52,100.85,99.16
BNL10888,1,CHN,43.49,157.86,63.35
BNL10929,1,CHN,48.55,99.86,100.14
BNL10926,1,CHN,59.44,79.73,125.43
BNL10924,1,CHN,40.46,105.4,94.88
BNL10906,1,CHN,60.76,113.24,88.31
BNL10912,1,CHN,57.84,84.3,118.63
BNL10932,1,CHN,46.41,107.76,92.8
BNL10877,1,CHN,45.04,84.05,118.97
BNL10879,1,CHN,49.46,92.81,107.75
BNL10881,1,CHN,40.09,118.57,84.34
BNL10884,1,CHN,53.17,131.52,76.03
BNL10886,1,CHN,42.17,103.46,96.66
BNL10889,1,CHN,48.97,141.93,70.46
BNL10893,1,CHN,64.77,101.49,98.54
BNL10899,1,CHN,41.32,174.45,57.32
BNL10901,1,CHN,46.51,140.21,71.32
BNL10902,1,CHN,40.89,90.55,110.44
BNL10903,1,CHN,53.62,141.95,70.45
BNL10931,1,CHN,63.14,88.27,113.29
BNL10943,1,CHN,49.03,81.91,122.09
BNL10949,1,CHN,55.07,153.52,65.14
BNL10988,1,CHN,55.66,149.44,66.92
BNL10990,1,CHN,59.63,81.13,123.26
BNL10992,1,CHN,52.48,131.87,75.83
BNL10994,1,CHN,56.6,121.77,82.12
BNL10874,1,CHN,56.82,144.16,69.37
BNL10875,1,CHN,49.42,99.44,100.57
BNL10920,1,CHN,52.68,144.98,68.98
BNL10938,1,CHN,61.82,84.39,118.5
BNL10944,1,CHN,49.63,140.42,71.22
BNL10945,1,CHN,53.9,140.75,71.05
BNL10946,1,CHN,54.9,114.7,87.18
BNL10947,1,CHN,57.91,134.96,74.1
BNL10952,1,CHN,64.26,73.28,136.45
BNL10953,1,CHN,55.73,85.65,116.75
BNL10954,1,CHN,53.75,164.24,60.89
BNL10956,1,CHN,51.75,140.64,71.1
BNL10959,1,CHN,50.88,99.12,100.88
BNL10961,1,CHN,54.93,156.8,63.78
BNL11034,1,CHN,32.69,94.45,105.87
BNL11038,1,CHN,45.56,81.55,122.63
BNL11039,1,CHN,63.56,111.25,89.89
BNL11047,1,CHN,52.49,94.73,105.56
BNL10896,1,CHN,47.92,96.67,103.45
BNL10898,1,CHN,54.36,89.51,111.72
BNL10921,1,CHN,63.81,87.81,113.88
BNL10907,1,CHN,60.63,116.45,85.87
BNL10914,1,CHN,52.22,118.92,84.09
BNL10919,1,CHN,67.44,104.84,95.38
BNL11037,1,CHN,45.43,98.76,101.26
BNL10904,1,CHN,48.31,95.48,104.74
BNL10925,1,CHN,58.56,101.19,98.82
BNL10916,1,CHN,59.1,147.46,67.81
BNL10948,1,CHN,50.27,137.8,72.57
BNL10897,1,CHN,53.89,116.92,85.53
BNL10905,1,CHN,50.08,134.04,74.61
BNL10923,1,CHN,51.33,154.25,64.83
BNL10913,1,CHN,51.85,70.08,142.69
BNL10911,1,CHN,43.04,159.26,62.79
BNL10909,1,CHN,45.09,153.52,65.14
BNL10878,1,CHN,42.81,101.72,98.3
BNL10784,1,CHN,53.98,122.54,81.6
BNL10880,1,CHN,55.53,139.73,71.57
BNL10882,1,CHN,51.38,119.04,84
BNL10885,1,CHN,55.85,159.33,62.76
BNL10928,1,CHN,55.07,132.72,75.34
BNL10937,1,CHN,57.58,103.36,96.75
BNL10940,1,CHN,48.78,101.43,98.59
BNL10942,1,CHN,60.58,109.39,91.41
BNL10964,1,CHN,53.83,117.77,84.91
BNL11059,1,CHN,54.25,119.12,83.95
BNL11080,1,CHN,51.75,165.41,60.46
BNL11091,1,CHN,56.14,154.78,64.61
BNL11095,1,CHN,57.1,144.06,69.42
BNL11105,1,CHN,55.25,124.71,80.19
BNL11107,1,CHN,50.37,86.73,115.3
BNL11108,1,CHN,56.03,73.55,135.95
BNL11109,1,CHN,50.49,121.46,82.33
BNL11137,1,CHN,60.47,131.27,76.18
BNL11138,1,CHN,54.83,152.74,65.47
BNL11139,1,CHN,54.49,123.41,81.03
BNL11142,1,CHN,41.15,93.72,106.7
BNL11143,1,CHN,40.45,105.86,94.46
BNL11144,1,CHN,59.36,103.54,96.58
BNL11145,1,CHN,54.12,75.53,132.4
BNL11146,1,CHN,63.3,80.45,124.3
BNL11445,1,CHN,64.03,97.5,102.56
BNL11463,1,CHN,62.73,105.37,94.9
BNL11449,1,CHN,56.59,124.85,80.09
BNL11448,1,CHN,55.6,102.89,97.19
BNL11316,1,CHN,64.59,93.42,107.04
BNL11444,1,CHN,50.1,93.57,106.88
BNL11446,1,CHN,53.05,103.33,96.78
BNL11447,1,CHN,35.64,102.24,97.81
BNL11450,1,CHN,58.95,114.26,87.52
BNL11451,1,CHN,56.35,101.15,98.87
BNL11462,1,CHN,43.77,106.54,93.86
BNL11063,1,CHN,59.81,86.12,116.11
BNL11140,1,CHN,64.55,113.68,87.97
BNL11110,1,CHN,60.91,76.82,130.18
BNL11055,1,CHN,41.33,96.11,104.05
BNL11115,1,CHN,60.1,81.34,122.94
BNL11106,1,CHN,59.09,104.93,95.3
BNL11232,1,CHN,42.73,150.06,66.64
BNL11092,1,CHN,57.72,83.8,119.33
BNL11087,1,CHN,62.63,95.32,104.91
BNL11098,1,CHN,48.74,85.75,116.62
BNL11114,1,CHN,63.61,92.36,108.27
BNL11104,1,CHN,43.78,144.86,69.03
BNL11116,1,CHN,50.69,104.21,95.96
