"Site","Sample_ID","Sample_Date","Species_Code","Genus","Species","Canopy_position","Light_Exposure","Sample_Type","Latitude","Longitude","Cmass_mg_g","Nmass_mg_g","CNratio","Carea_g_m2","Narea_g_m2","LMA_gDW_m2"
"SB2","BNL12912T",20170309,"ALC-LAT","Alchornea","latifolia Sw.","Mid","Part_Sun","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,65.56
"FLMM","BNL12736",20170306,"GUA-OFF","Guaiacum","officinale","Upper","Sunlit","Chem",18.387864,-66.028765,521.9,23.5,22.21,45.76,2.06,87.68
"SB2","BNL12913T",20170309,"TAB-HET","Tabebuia","heterophylla (DC.) Britton","Mid","Part_Sun","Chem",18.302924,-65.787412,469.7,14.1,33.31,30.2,0.91,64.29
"FLMM","BNL12737",20170306,"CLU-ROS","Clusia","rosea","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,469.9,11.3,41.58,136.07,3.27,289.58
"SB2","BNL12914T",20170309,"TAB-HET","Tabebuia","heterophylla (DC.) Britton","Mid","Part_Sun","Chem",18.302924,-65.787412,480.1,14,34.29,38.72,1.13,80.64
"FLMM","BNL12738",20170306,"CLU-ROS","Clusia","rosea","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,478.5,11.9,40.21,142.19,3.54,297.16
"SB2","BNL12915T",20170308,"ALC-LAT","Alchornea","latifolia Sw.","Upper","Sunlit","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,40.07
"FLMM","BNL12739",20170306,"CLU-ROS","Cordia","collococca",NA,NA,"Spectra",18.387864,-66.028765,NA,NA,NA,NA,NA,NA
"SB2","BNL12916T",20170308,"ALC-LAT","Alchornea","latifolia Sw.","Upper","Sunlit","Chem",18.302924,-65.787412,483.2,26.3,18.37,26.99,1.47,55.87
"FLMM","BNL12740",20170306,"COR-COL","Cordia","collococca","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,499.9,24.8,20.16,48.09,2.39,96.2
"SB2","BNL12917T",20170309,"MAN-BID","Manilkara","bidentata","Mid","Part_Sun","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,66.92
"FLMM","BNL12741",20170306,"COR-COL","Cordia","collococca","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,493.6,26.6,18.56,38.84,2.09,78.7
"SB2","BNL12918T",20170309,"MAN-BID","Manilkara","bidentata",NA,NA,"Spectra",18.302924,-65.787412,NA,NA,NA,NA,NA,NA
"FLMM","BNL12742",20170306,"COR-COL","Cordia","collococca","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,NA,NA,NA,NA,NA,82.21
"SB2","BNL12919T",20170309,"MAN-BID","Manilkara","bidentata","Mid","Part_Sun","Chem",18.302924,-65.787412,506.9,14.8,34.25,55.87,1.63,110.22
"FLMM","BNL12743",20170306,"COC-PUB","Coccoloba","pubescens","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,500.9,15,33.39,74.39,2.23,148.52
"SB2","BNL12920T",20170308,"CAL-CAL","calophyllum","calaba","Lower","Shaded","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,58.8
"FLMM","BNL12744",20170306,"COC-PUB","Coccoloba","pubescens","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,470,14.7,31.97,98.95,3.09,210.52
"SB2","BNL12921T",20170308,"CAL-CAL","calophyllum","calaba","Lower","Shaded","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,83.88
"FLMM","BNL12745",20170306,"COC-PUB","Coccoloba","pubescens","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,472,15.5,30.45,77.81,2.56,164.86
"SB2","BNL12922T",20170308,"TAB-HET","Tabebuia","heterophylla (DC.) Britton","Lower","Shaded","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,70.79
"FLMM","BNL12746",20170306,"COC-PUB","Coccoloba","pubescens","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,472.7,16.1,29.36,76.49,2.61,161.83
"SB2","BNL12923T",20170308,"CAL-CAL","calophyllum","calaba","Lower","Shaded","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,35.22
"FLMM","BNL12623",20170307,"FIC-TRY","Ficus","trigonata","Upper","Sunlit","Chem",18.387864,-66.028765,391.9,16.9,23.19,39.26,1.69,100.18
"SB2","BNL12924T",20170308,"CAL-CAL","calophyllum","calaba","Lower","Shaded","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,88.23
"FLMM","BNL12624",20170307,"FIC-TRY","Ficus","trigonata","Upper","Sunlit","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,100.41
"SB2","BNL12925T",20170308,"ALC-LAT","Alchornea","latifolia Sw.","Mid","Part_Sun","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,46.78
"FLMM","BNL12625",20170307,"FIC-CIT","Ficus","citrifolia","Lower","Shaded","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,48.96
"SB2","BNL12926T",20170309,"ALC-LAT","Alchornea","latifolia Sw.","Mid","Part_Sun","Chem",18.302924,-65.787412,483.9,19.5,24.82,24.7,1,51.05
"FLMM","BNL12626",20170307,"FIC-CIT","Ficus","citrifolia","Lower","Shaded","Chem",18.387864,-66.028765,421.6,15.2,27.74,21.09,0.76,50.01
"FLMM","BNL12627",20170307,"TRE-MIC","Trema","micrantha","Lower","Shaded","Chem",18.387864,-66.028765,438,19.6,22.35,30.06,1.35,68.63
"FLMM","BNL12628",20170307,"GUA-GUI","Guarea","guidonia","Mid","Part_Sun","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,88.68
"FLMM","BNL12629",20170307,"GUA-GUI","Guarea","guidonia","Upper","Sunlit","Chem",18.387864,-66.028765,518,26.7,19.4,50.63,2.61,97.73
"FLMM","BNL12630",20170307,"SWI-MAH","Swietenia","mahagoni","Upper","Sunlit","Chem",18.387864,-66.028765,512.7,18.1,28.33,52.56,1.86,102.52
"FLMM","BNL12631",20170307,"GUA-GUI","Guarea","guidonia","Upper","Sunlit","Chem",18.387864,-66.028765,550.7,30.5,18.06,26.14,1.45,47.47
"FLMM","BNL12633",20170307,"FIC-TRY","Ficus","trigonata","Lower","Shaded","Chem",18.387864,-66.028765,445.9,20.7,21.54,26.48,1.23,59.39
"FLMM","BNL12634",20170307,"FIC-TRY","Ficus","trigonata","Lower","Shaded","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,81.45
"FLMM","BNL12635",20170307,"TER-CAT","Terminalia","catappa","Upper","Sunlit","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,72.66
"FLMM","BNL12636",20170307,"GUA-ULM","Guazuma","ulmifolia","Upper","Sunlit","Chem",18.387864,-66.028765,477.7,30.4,15.71,41.68,2.65,87.25
"FLMM","BNL12637",20170307,"DEN-ARB","Dendropanax","arboreus","Lower","Shaded","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,56.23
"FLMM","BNL12638",20170307,"DEN-ARB","Dendropanax","arboreus","Lower","Shaded","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,74.62
"FLMM","BNL12639",20170307,"DEN-ARB","Dendropanax","arboreus","Upper","Sunlit","Chem",18.387864,-66.028765,481,26.1,18.43,32.64,1.77,67.85
"FLMM","BNL12640",20170307,"DEN-ARB","Dendropanax","arboreus","Upper","Sunlit","Chem",18.387864,-66.028765,493,23.9,20.63,44.49,2.16,90.25
"FLMM","BNL12641",20170307,"TET-BAL","Tetragastris","balsamifera","Lower","Shaded","Chem",18.387864,-66.028765,463.8,17.9,25.91,36.44,1.41,78.58
"FLMM","BNL12642",20170307,"TET-BAL","Tetragastris","balsamifera","Lower","Shaded","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,68.53
"FLMM","BNL12643",20170307,"BUC-TET","Buchenavia","tetraphylla","Lower","Shaded","Chem",18.387864,-66.028765,485.6,26.8,18.12,30.44,1.68,62.68
"FLMM","BNL12644",20170307,"BUC-TET","Buchenavia","tetraphylla","Upper","Sunlit","Chem",18.387864,-66.028765,486.8,17.3,28.14,73.98,2.63,151.97
"FLMM","BNL12645",20170307,"DEL-REG","Delonix","regia","Upper","Sunlit","Chem",18.387864,-66.028765,448.9,19,23.63,46.28,1.96,103.09
"FLMM","BNL12646",20170307,"GUA-ULM","Guazuma","ulmifolia","Lower","Shaded","Chem",18.387864,-66.028765,461.9,33.7,13.71,30.77,2.25,66.62
"FLMM","BNL12647",20170307,"SPA-CAM","Spathodea","campanulata P. Beauv","Upper","Sunlit","Chem",18.387864,-66.028765,455.8,22.5,20.26,42.88,2.12,94.07
"FLMM","BNL12648",20170307,"DEN-ARB","Dendropanax","arboreus","Upper","Sunlit","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,46.06
"FLMM","BNL12649",20170307,"DEN-ARB","Dendropanax","arboreus","Upper","Sunlit","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,76.78
"FLMM","BNL12651",20170307,"TET-BAL","Tetragastris","balsamifera","Upper","Sunlit","Chem",18.387864,-66.028765,510.4,23.8,21.45,23.74,1.11,46.51
"IITF","BNL12747",20170307,"SWI-MAC","Swietenia","macrophylla","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,495.7,10.1,49.08,55.54,1.13,112.05
"IITF","BNL12748",20170307,"SWI-MAC","Swietenia","macrophylla","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,471.5,9.9,47.63,46.96,0.99,99.6
"IITF","BNL12749",20170307,"SWI-MAC","Swietenia","macrophylla","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,487.7,10.6,46.01,NA,NA,NA
"IITF","BNL12750",20170307,"SWI-MAC","Swietenia","macrophylla","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,503.2,10.2,49.33,51.45,1.04,102.25
"IITF","BNL12751",20170307,"SWI-MAC","Swietenia","macrophylla","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,486.9,9.6,50.72,44.28,0.87,90.94
"IITF","BNL12752",20170307,"AND-INE","Andira","inermis (MOCA)","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,553.1,40.1,13.79,28.81,2.09,52.09
"IITF","BNL12753",20170307,"AND-INE","Andira","inermis (MOCA)","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,550.1,38.3,14.36,26.89,1.87,48.89
"IITF","BNL12754",20170307,"AND-INE","Andira","inermis (MOCA)","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,529.7,22.3,23.75,55.65,2.34,105.06
"IITF","BNL12756",20170307,"AND-INE","Andira","inermis (MOCA)","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,500.5,20.5,24.41,48.67,1.99,97.25
"IITF","BNL12757",20170307,"AND-INE","Andira","inermis (MOCA)","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,546.8,33.8,16.18,28.44,1.76,52.02
"IITF","BNL12758",20170307,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,507.9,15.2,33.41,78.28,2.34,154.13
"IITF","BNL12759",20170307,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,510.4,15.1,33.8,74.29,2.2,145.56
"IITF","BNL12760",20170307,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,506,13.9,36.4,70.63,1.94,139.59
"IITF","BNL12761",20170307,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,510.7,19.8,25.79,32.27,1.25,63.19
"IITF","BNL12762",20170307,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,519.5,23.7,21.92,35.25,1.61,67.85
"IITF","BNL12763",20170307,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,519.1,23.1,22.47,34.1,1.52,65.68
"IITF","BNL12764",20170307,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,466.5,26.3,17.74,42.54,2.4,91.19
"IITF","BNL12765",20170307,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,466.5,26.1,17.87,44.07,2.47,94.47
"IITF","BNL12766",20170307,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,479.9,26.6,18.04,41.59,2.31,86.66
"IITF","BNL12767",20170307,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,483.6,25.5,18.96,42.51,2.24,87.91
"IITF","BNL12768",20170307,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,446.9,25.8,17.32,41.62,2.4,93.14
"FLMM","BNL12650",20170308,"SPA-CAM","Spathodea","campanulata P. Beauv","Lower","Shaded","Chem",18.387864,-66.028765,422.6,17.5,24.15,40.62,1.68,96.12
"FLMM+IITF","BNL12652",20170308,"MAN-BID","Manilkara","bidentata","Upper","Sunlit","Chem",18.38923,-66.05525,473,16.3,29.02,39.48,1.36,83.47
"FLMM+IITF","BNL12653",20170308,"CEI-PEN","Ceiba","pentandra","Upper","Sunlit","Chem",18.38923,-66.05525,445.1,20.2,22.03,25.54,1.16,57.37
"FLMM+IITF","BNL12654",20170308,"CEI-PEN","Ceiba","pentandra","Upper","Sunlit","Chem",18.38923,-66.05525,453,26,17.42,28.9,1.66,63.79
"FLMM+IITF","BNL12655",20170308,"MAN-BID","Manilkara","bidentata","Upper","Sunlit","Chem",18.38923,-66.05525,455.9,17.7,25.76,116.48,4.52,255.5
"FLMM+IITF","BNL12656",20170308,"MAN-BID","Manilkara","bidentata","Upper","Sunlit","Chem",18.38923,-66.05525,482.1,11.2,43.04,25.05,0.58,51.97
"FLMM+IITF","BNL12657",20170308,"SWI-MAH","Swietenia","mahagoni","Lower","Shaded","Chem",18.38923,-66.05525,503.6,18.3,27.52,44.45,1.62,88.27
