"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","N.mu","N.q25","N.q975","Cab.mu","Cab.q25","Cab.q975","Car.mu","Car.q25","Car.q975","Canth.mu","Canth.q25","Canth.q975","Cbrown.mu","Cbrown.q25","Cbrown.q975","Cw.mu","Cw.q25","Cw.q975","Cm.mu","Cm.q25","Cm.q975"
"BNL11631","PA-SLZ","SVC_HR-1024i","TOCOPI","Tocoyena","pittieri","sunlit","51.3491269812899","20160421",2.13083071412585,2.12541388623189,2.14604083272605,41.5902131253627,41.3842371066272,42.1720380053948,14.0325708480501,13.7998221339273,14.720700721828,0.390346855138015,0.319452734741555,0.606025256198421,0.00159266663883949,0.00113198446264074,0.00290868598722213,0.0191749764507281,0.0191245430824455,0.0193230853561433,0.00813487613370767,0.00800663428555567,0.00848963908434585
"BNL11632","PA-SLZ","SVC_HR-1024i","TOCOPI","Tocoyena","pittieri","sunlit","55.8945583524044","20160421",2.05979092427656,2.05481531263645,2.07323179552978,42.791883910738,42.5972898830934,43.3670701864124,13.7782114201215,13.5568590316209,14.4407061838042,0.494162942511195,0.432949169955265,0.691563331650919,0.00146241424688705,0.00105231841007097,0.0028039820916026,0.0196605475149842,0.0196161731685322,0.0197904066783707,0.00803969132823689,0.00791881631893388,0.00838629559650607
"BNL11633","PA-SLZ","SVC_HR-1024i","GUATDU","Guatteria","dumetorum","sunlit","175.112433572919","20160421",1.83936297669808,1.83574256873598,1.84939766204421,70.909461354244,70.4051131460975,72.2928472661379,22.8378055090492,21.8339584115934,25.7081724940573,4.84543588214305,4.58089275667536,5.65315094048424,0.00270279228151154,0.00186240800247833,0.00523855876906638,0.0135378641050272,0.0134971806381141,0.0136565139678744,0.00917054301129042,0.00906736586869015,0.00945460892665675
"BNL11634","PA-SLZ","SVC_HR-1024i","GUATDU","Guatteria","dumetorum","sunlit","145.805322933791","20160421",1.86512966153397,1.85999105502015,1.88088554263887,63.4785902310295,62.9873203528812,64.9428055161271,21.1183947126535,20.2315733609169,23.6054890877084,3.28941924783279,3.06629036662607,3.93563294271903,0.00282030781644406,0.00189423287330189,0.00585427188142119,0.0141970775928194,0.0141493535806802,0.0143397387061258,0.0102659444656001,0.0101225126069287,0.0106702648030235
"BNL11701","PA-SLZ","SVC_HR-1024i","MICOBO","Miconia","borealis","sunlit","196.970567172277","20160421",1.9230834249105,1.9152527545223,1.94481908367151,59.8427011705931,59.307150643391,61.4107229730943,16.7418140721442,16.0614555284538,18.7140157773352,2.53043601005065,2.33156412036439,3.11120752400478,0.00752234583787691,0.00514421674643426,0.0150679714816773,0.0172066633465707,0.0171363250378225,0.0174113326542543,0.0172841666173272,0.0170500189980432,0.0179549702579418
"BNL11702","PA-SLZ","SVC_HR-1024i","MICOBO","Miconia","borealis","sunlit","180.119929799855","20160421",2.31632173746634,2.30166722747242,2.35660178929037,72.7065993988928,71.9622835394888,75.1744486210467,18.131490215297,17.3282502798613,20.6660332898522,2.77639427823332,2.50528648626045,3.55126435719602,0.00534992600557226,0.00368937398235402,0.011148463097807,0.0202193342248417,0.0201217915754422,0.0205153064357485,0.0198054874758607,0.0194585340362618,0.0208355180065607
"BNL11703","PA-SLZ","SVC_HR-1024i","TOCOPI","Tocoyena","pittieri","sunlit","65.9731342725312","20160421",2.14388788326509,2.13756738674758,2.16148683849975,48.8667567588279,48.6073007286466,49.6335437791486,16.9575545819054,16.6546113313025,17.8693052557803,0.765753129112474,0.684894776133425,0.997787750608189,0.00167429812319316,0.00117078015920315,0.00336294656197453,0.0220734649820588,0.0220160305638892,0.022232630711085,0.00992035093378334,0.00976542826239998,0.0103486291898463
"BNL11705","PA-SLZ","SVC_HR-1024i","GUATDU","Guatteria","dumetorum","sunlit","153.390429660734","20160421",1.82694874279465,1.82291035520813,1.8379961240324,63.4004010506348,62.9585928041759,64.6703854425743,19.7279211374241,19.036824731557,21.7635735482338,2.42889870013919,2.26337367950104,2.98234384569642,0.00268743576120027,0.00181953297830811,0.00513470315631086,0.0143221388997054,0.0142797098927833,0.0144470266949227,0.0090339205111866,0.00892015764177762,0.00936723376778249
"BNL11706","PA-SLZ","SVC_HR-1024i","GUATDU","Guatteria","dumetorum","sunlit","156.484685319449","20160421",1.7628937864284,1.75926393124263,1.77373884281779,60.5757012175195,60.1216091743685,61.8589751740522,21.3532032173288,20.4509020200319,23.8129896178325,3.27347331226602,3.06682351983065,3.8496635781038,0.00273156527409688,0.00189582728310298,0.00552088883023332,0.0122482383167414,0.0122118457266449,0.0123528184247648,0.00813392986201338,0.00803389342547125,0.00841453967787594
"BNL11707","PA-SLZ","SVC_HR-1024i","TERMAM","Terminalia","amazonia","sunlit","172.701204625127","20160421",2.57720857942268,2.55965973476544,2.62725191204147,87.6530444857841,86.9011824808208,90.0706575418928,31.5880135245373,29.994360393047,36.2358784410733,7.43721744149381,7.04181468073266,8.60874659088678,0.00577925946372715,0.00404462937009039,0.011508599472589,0.0278310064425584,0.0277083497634786,0.0281673200145916,0.0246781052485983,0.0242589228809071,0.0258850232179782
