SampleID,Site,Latitude,Longitude,Sample_Type,Date,Species_Number,Species_ID,Full_Species_Name,Genus,Species,Leaf_Age,Canopy_Position,Light_Exposure
BNL12727,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,13,BOU-SUC,Bourreria succculenta,Bourreria,succculenta,Mature-Old,Upper,Sunlit
BNL12727T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,13,BOU-SUC,Bourreria succculenta,Bourreria,succculenta,Mature-Old,Upper,Sunlit
BNL12728,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,13,BOU-SUC,Bourreria succculenta,Bourreria,succculenta,Mature-Old,Upper,Sunlit
BNL12728T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,13,BOU-SUC,Bourreria succculenta,Bourreria,succculenta,Mature-Old,Upper,Sunlit
BNL12729,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,13,BOU-SUC,Bourreria succculenta,Bourreria,succculenta,Old,Upper,Sunlit
BNL12729T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,13,BOU-SUC,Bourreria succculenta,Bourreria,succculenta,Old,Upper,Sunlit
BNL12730,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,13,BOU-SUC,Bourreria succculenta,Bourreria,succculenta,Old,Upper,Sunlit
BNL12730T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,13,BOU-SUC,Bourreria succculenta,Bourreria,succculenta,Old,Upper,Sunlit
BNL12731,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,52,CLU-ROS,Clusia rosea,Clusia,rosea,Mature,Upper,Sunlit
BNL12731T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,52,CLU-ROS,Clusia rosea,Clusia,rosea,Mature,Upper,Sunlit
BNL12732,FLMM,18.387864,-66.028765,Chem,20170306,66,GUA-FRA,Guapira fragans,Guapira,fragans,Young,Upper,Sunlit
BNL12732T,FLMM,18.387864,-66.028765,Chem,20170306,66,GUA-FRA,Guapira fragans,Guapira,fragans,Young,Upper,Sunlit
BNL12733,FLMM,18.387864,-66.028765,Chem,20170306,66,GUA-FRA,Guapira fragans,Guapira,fragans,Old,Upper,Sunlit
BNL12733T,FLMM,18.387864,-66.028765,Chem,20170306,66,GUA-FRA,Guapira fragans,Guapira,fragans,Old,Upper,Sunlit
BNL12734,FLMM,18.387864,-66.028765,Chem,20170306,32,COC-DIV,Coccoloba diversifolia,Coccoloba,diversifolia,Mature,Upper,Sunlit
BNL12734T,FLMM,18.387864,-66.028765,Chem,20170306,32,COC-DIV,Coccoloba diversifolia,Coccoloba,diversifolia,Mature,Upper,Sunlit
BNL12735,FLMM,18.387864,-66.028765,Chem,20170306,32,COC-DIV,Coccoloba diversifolia,Coccoloba,diversifolia,Old,Upper,Sunlit
BNL12735T,FLMM,18.387864,-66.028765,Chem,20170306,32,COC-DIV,Coccoloba diversifolia,Coccoloba,diversifolia,Old,Upper,Sunlit
BNL12736,FLMM,18.387864,-66.028765,Chem,20170306,45,GUA-OFF,Guaiacum officinale,Guaiacum,officinale,Mature,Upper,Sunlit
BNL12736T,FLMM,18.387864,-66.028765,Chem,20170306,45,GUA-OFF,Guaiacum officinale,Guaiacum,officinale,Mature,Upper,Sunlit
BNL12737,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,52,CLU-ROS,Clusia rosea,Clusia,rosea,Mature,Upper,Sunlit
BNL12737T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,52,CLU-ROS,Clusia rosea,Clusia,rosea,Mature,Upper,Sunlit
BNL12738,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,52,CLU-ROS,Clusia rosea,Clusia,rosea,Mature,Upper,Sunlit
BNL12738T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,52,CLU-ROS,Clusia rosea,Clusia,rosea,Mature,Upper,Sunlit
BNL12739,FLMM,18.387864,-66.028765,Spectra,20170306,47,CLU-ROS,Cordia collococca,Cordia,collococca,Mature,-9999,-9999
BNL12739T,FLMM,18.387864,-66.028765,Spectra,20170306,47,CLU-ROS,Cordia collococca,Cordia,collococca,Mature,-9999,-9999
BNL12740,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,47,COR-COL,Cordia collococca,Cordia,collococca,Mature-Old,Upper,Sunlit
BNL12740T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,47,COR-COL,Cordia collococca,Cordia,collococca,Mature-Old,Upper,Sunlit
BNL12741,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,47,COR-COL,Cordia collococca,Cordia,collococca,Mature,Upper,Sunlit
BNL12741T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,47,COR-COL,Cordia collococca,Cordia,collococca,Mature,Upper,Sunlit
BNL12742,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,47,COR-COL,Cordia collococca,Cordia,collococca,Mature,Upper,Sunlit
BNL12742T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,47,COR-COL,Cordia collococca,Cordia,collococca,Mature,Upper,Sunlit
BNL12743,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Mature,Upper,Sunlit
BNL12743T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Mature,Upper,Sunlit
BNL12744,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Old-epiphyll,Upper,Sunlit
BNL12744T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Old-epiphyll,Upper,Sunlit
