SampleID,Leaf_H2O_pc,SLA,LMA,QA_QC_Flag,Comments
BNL12602T,48.74,57.44,174.09,,
BNL12603,46.83,55.68,179.61,,
BNL12603T,46.83,55.68,179.61,,
BNL12604,63.53,76.01,131.55,,
BNL12604T,63.53,76.01,131.55,,
BNL12605,60.34,73.37,136.29,,
BNL12605T,60.34,73.37,136.29,,
BNL12606,72.6,101.51,98.51,,
BNL12606T,72.6,101.51,98.51,,
BNL12607,67.2,94.14,106.22,,
BNL12607T,67.2,94.14,106.22,,
BNL12608,74.88,86.6,115.48,,
BNL12608T,74.88,86.6,115.48,,
BNL12609,58.4,76.39,130.9,,
BNL12609T,58.4,76.39,130.9,,
BNL12610,52.83,58.56,170.75,,
BNL12610T,52.83,58.56,170.75,,
BNL12611,62.37,72.76,137.43,,
BNL12611T,62.37,72.76,137.43,,
BNL12612,60.93,73.42,136.2,,
BNL12612T,60.93,73.42,136.2,,
BNL12613,61.18,52.42,190.75,,
BNL12613T,61.18,52.42,190.75,,
BNL12614,60.09,60.58,165.07,,
BNL12614T,60.09,60.58,165.07,,
BNL12615,60.31,65.41,152.88,,
BNL12615T,60.31,65.41,152.88,,
BNL12616,51.76,81.89,122.12,,
BNL12616T,51.76,81.89,122.12,,
BNL12617,50.51,70.64,141.56,,
BNL12617T,50.51,70.64,141.56,,
BNL12618,69.18,85.41,117.08,,
BNL12618T,69.18,85.41,117.08,,
BNL12619,54.12,54.98,181.89,,
BNL12619T,54.12,54.98,181.89,,
BNL12620,54.19,58.95,169.62,,
BNL12620T,54.19,58.95,169.62,,
BNL12621,56.07,87.95,113.71,,
BNL12621T,56.07,87.95,113.71,,
BNL12622,52.22,70.97,140.91,,
BNL12622T,52.22,70.97,140.91,,
BNL12719,56.12,94.31,106.04,,
BNL12719T,56.12,94.31,106.04,,
BNL12720,50.83,73.93,135.26,,
BNL12720T,50.83,73.93,135.26,,
BNL12721,53.87,87.8,113.9,,
BNL12721T,53.87,87.8,113.9,,
BNL12722,52.53,75.19,132.99,,
BNL12722T,52.53,75.19,132.99,,
BNL12723,56.57,81,123.46,,
BNL12723T,56.57,81,123.46,,
BNL12724,56.9,101.79,98.24,,
BNL12724T,56.9,101.79,98.24,,
BNL12725,54.13,150.15,66.6,,
BNL12725T,54.13,150.15,66.6,,
BNL12726,50.72,136.17,73.44,,
BNL12726T,50.72,136.17,73.44,,
BNL12727,52.23,132.3,75.59,,
BNL12727T,52.23,132.3,75.59,,
BNL12728,49.38,115.35,86.69,,
